EXTRAS,3-Seasons,Peak Season
"HoneymoonPackage, per person/night Roomdécor with bush flowers, Towel art, fruit basket, and a bottle of wine.",$ 50,$ 75
"Family Tent Supplement, per tent/night",$125,$175
"BushBreakfast, per person (Minimum 2 guests)",$ 50,$ 75
"BushDinner, per person (Minimum 2guests)",$ 50,$ 75
"Sundowner, per person (Minimum 2guests) Includes select alcoholic, non-alcoholic drinks and biting's .",$ 50,$ 75
Maasai Cultural Dance(Minimum5 guests),$150,$150
"Maasai Village Tour, per person (Minimum2-guests)",$ 30,$ 30
"Safari Bush/Nature Walk, per person",$ 35,$ 50
"GameDrive (Day/Night), per person for 2½hours(Min2 pax - Max6pax)",$ 75,$100
"Private GameDrive - Exclusive Useof Vehicle, per day(Max 6pax)",$350,$400
Transfer toorfromSGR - Emali(EachWay - Max6pax),$225,$275
Transfer to or from NamangaBorder(EachWay - Max6pax),$225,$275
"Valentine's Day Package (optional), per person Roomdécor with bush flowers, Towel art, fruit basket, and a glass of wine at dinner.",$ 35,
"Easter Supplement, per person (March29 - 31)",$ 35,
"Extra Breakfast, or Lunch (packed, oron site)",$ 25,$ 35
Extra Dinner,$ 25,$ 35
BirthdayCake,$ 25,$ 35
