TULIA AMBOSELI SAFARI CAMP.,,Jan. 3 - Mar 31 Oct 1 - Dec 19.High-Season,Apr. 1 - June 30.Low Season,July 1 - July 15 Sept 16 - Sept 30.Off-Peak Season,July 16 - Sept 15 Dec 20 - Jan 2.Peak Season
Mountainview Superb Safari Tent (Full Board),Adult Sharing,"19,240","17,825","22,090","26,365"
Mountainview Superb Safari Tent (Full Board),Child Sharing,"9,975","9,265","11,400","13,540"
Mountainview Superb Safari Tent (Full Board),Single Adult,"26,365","24,225","29,925","35,625"
,3 rd Bed Supplement,"14,250","13,540","16,390","19,950"
Mountainview Superb Safari Tent Game Package,Adult Sharing,"37,050","32,065","41,325","47,740"
Mountainview Superb Safari Tent Game Package,Child Sharing,"18,525","16,390","20,665","23,515"
Mountainview Superb Safari Tent Game Package,Single Adult,"49,875","43,465","56,290","64,125"
Mountainview Superb Safari Tent Game Package,3 rd Bed Supplement,"27,790","24,225","30,640","35,625"
Mountainview Deluxe Safari Tent w/Plunge Pool (Full Board),Adult Sharing,"26,365","22,800","32,070","37,050"
Mountainview Deluxe Safari Tent w/Plunge Pool (Full Board),Child Sharing,"13,540","11,400","15,675","18,525"
Mountainview Deluxe Safari Tent w/Plunge Pool (Full Board),Single Adult,"35,625","30,640","41,325","49,875"
Mountainview Deluxe Safari Tent w/Plunge Pool (Full Board),3 rd Bed Supplement,"19,950","17,100","22,800","27,790"
Mountainview Deluxe Safari Tent w/Plunge Pool Game Package,Adult Sharing,"44,175","37,050","49,875","58,425"
Mountainview Deluxe Safari Tent w/Plunge Pool Game Package,Child Sharing,"22,090","18,525","24,940","29,215"
Mountainview Deluxe Safari Tent w/Plunge Pool Game Package,Single Adult,"59,140","49,875","67,690","79,090"
Mountainview Deluxe Safari Tent w/Plunge Pool Game Package,3 rd Bed Supplement,"33,490","27,790","37,765","44,175"
