REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.OCCUPANCY,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.BB,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.HB,REGULAR SEASON 02/01/2025 to 30/06/2025 & 01/11/2025 to 22/12/2025.FB,HIGH SEASON 01/07/2025 to 30/10/2025 & 23/12/2025 to 2/01/2026.OCCUPANCY,HIGH SEASON 01/07/2025 to 30/10/2025 & 23/12/2025 to 2/01/2026.BB,HIGH SEASON 01/07/2025 to 30/10/2025 & 23/12/2025 to 2/01/2026.HB,HIGH SEASON 01/07/2025 to 30/10/2025 & 23/12/2025 to 2/01/2026.FB
STANDARD ROOM,SINGLE DOUBLE/TWIN,143 219,162 238,171 247,SINGLE DOUBLE/TWIN,196 266,204 276,223 299
,TRIPLE SINGLE,284 152,309 171,321 181,TRIPLE SINGLE,332 216,347 220,373 227
COTTAGE ROOM,DOUBLE/TWIN,228,247,266,TRIPLE,270,,
JUNIOR SUITE,TRIPLE SINGLE,297,321,,DOUBLE/TWIN,339,290,309 389
,,186,,,,219,364,
,,,,346,,,,
,,,200,209,SINGLE,304,238,247
,DOUBLE/TWIN,266,285,295,DOUBLE/TWIN,,323,333
,TRIPLE,346,371,383,TRIPLE,384,409,421
