®.,01-Nov 23-Dec-24.USD,24-Dec-24 06-Jan-25.USD,07-Jan 28-Feb.USD,01-Mar 31-Mar.USD,01-Apr 30-Jun.USD,01-Jul 30-Sep.USD,01-Oct 31-Oct-25.USD
DELUXE GARDEN ROOM,127,269,143,127,119,143,127
PREMIUM GARDEN ROOM,144,286,160,144,136,160,144
DELUXE GARDEN SUITE,163,305,179,163,155,179,163
PREMIUM GARDEN SUITE,180,322,196,180,172,196,180
LUXURY OCEAN FRONT ROOM,183,325,199,183,175,199,183
GRAND OCEAN FRONT SUITE,223,365,239,223,215,239,223
* Full Board supplement * All Inclusive supplement,,,$20,,pp / pd,,
,,,$44,,pp / pd,,
* 3rd bed reduction - adult,,,30%,,rate,,
* Children (2-11) sharing room,,,50%,,adult rate,,
* Children (2-11) own room,,,80%,,adult rate,,
* single supplement - room / suite,,,50%,,rate,,
"* Easter Supplement - fri, sat, sun, mon",,,$24,,pp / pd,,"April 18, 19, 20 & 21"
* Xmas 25th & New Year eve 31st Dec,,,$40,,pp / pd,,
