SEASON Published rate per person based on Half board (Kshs) ROOMCATEGORY,November 01.11.24- Dec. 19.12.24 April 01.04.25 - June 30.06.25 September 01.09.25-October 31.10.2025 (MID SEASON),December 20.12.24- January 02.01.25 (PEAK SEASON),Jan. 03.01.25-March 31.03.25 July 01.07.25-August 31.08.25 (HIGH SEASON)
Garden view Single,"18,700","29,700","24,200"
Superior Garden view,19.800,"35,200","21,500"
Deluxe Ocean view room,"21,500","36,300","22,500"
Garden Suite garden view,"24,200","38,500","25,300"
Jacuzzi suite ocean view,29.200,"42,500","30,300"
Ocean suite ocean view,"29,200","42,500","30,300"
Single room supplement in%,30%,30%,30%
Children Rates,Minimum age 12 years of age Adult rates Applicable,Minimum age 12 years of age Adult rates Applicable,
Third bed adult in %of the applicable pp rate,60%,60%,60%
Minimum Stay,,07 Nights,
Private Airport transfer from Ukunda one way maxi. 4 pax,"2,000","2,000","2,000"
Private Airport transfers from Mombasa one way max. 4 pax,"8,500","8,500","8,500"
Private Transfers for Stays of 7 Nights and above,Free,Free,Free
Cancellation Policy,"Less than 30 days to 14 days prior to arrival: 40% of the rate applicable per person with a max. of 5 nights per person; 24 to 14 days prior to arrival 50%, max. 5 days nights per person to arrival;13 days to 04 days prior to arrival; 80% 03 or less / No Shows or Early Departures 90% of the rate applicable per person with a max. of 5 nights &35% on additional nights cancelled","Less than 30 days to 14 days prior to arrival: 40% of the rate applicable per person with a max. of 5 nights per person; 24 to 14 days prior to arrival 50%, max. 5 days nights per person to arrival;13 days to 04 days prior to arrival; 80% 03 or less / No Shows or Early Departures 90% of the rate applicable per person with a max. of 5 nights &35% on additional nights cancelled","Less than 30 days to 14 days prior to arrival: 40% of the rate applicable per person with a max. of 5 nights per person; 24 to 14 days prior to arrival 50%, max. 5 days nights per person to arrival;13 days to 04 days prior to arrival; 80% 03 or less / No Shows or Early Departures 90% of the rate applicable per person with a max. of 5 nights &35% on additional nights cancelled"
Payment policy,Strictly 30 days after invoice,Strictly 30 days after invoice,Strictly 30 days after invoice
