Room.Room,Occupancy.Occupancy,Meal plan.Meal plan,Without Activities.Ksh,Water Slides or High Ropes.Ksh,"Water Slides, High Ropes and Spa.Ksh"
,,FB,"11,000","13,000","14,000"
,,HB,"10,000","12,000","13,000"
,,BB,"8,000","10,000","12,000"
,,Bed,"7,000","9,000","10,000"
,,FB,"13,000","14,000","15,000"
,,HB,"11,000","13,000","14,000"
,,BB,"9,000","11,000","12,000"
,,Bed,"8,000","10,000","11,000"
,,FB,"14,000","15,000","17,000"
,,HB,"12,000","13,000","14,000"
,,BB,10.000,"12,000","13,000"
,,Bed,"8,000","9,000","10,000"
,,FB,"28,000","32,000","36,000"
,,HB,"25,000","28,000","32,000"
,,BB,"23,000","26,000","30,000"
,,Bed,"20,000","24,000","28,000"
