 ,**Low Season rates(Resident Net Rates )**,**Low Season rates(Resident Net Rates )**,**Low Season rates(Resident Net Rates )**,**Low Season rates(Resident Net Rates )**,Regular  Season Net rates,Regular  Season Net rates,Regular  Season Net rates,Regular  Season Net rates,High  Season Net rates,High  Season Net rates,High  Season Net rates,High  Season Net rates
**Resident Ground package net rates**,"**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
**Resident Ground package net rates**,"**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","**February , March ,
    May  ,October &amp;  November**","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","January, April,  June ,September & December","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year","July, August ,Easter ,Christmas &New year"
Rooms & Suites,**Single**,**Double**,**Triple**,**Quad**, Single  , Double  , Triple  , Quad ,**Single**,**Double**,**Triple**,**Quad**
**Warriors Deluxe   suites**,"**58,750**","**65,000**",**N/A**,**N/A**,"**62,250**","**69,000**",**N/A**,**N/A**,"**97,500**","**110,000**",**N/a**,**N/a**
**Elephant Junior suites**,"**64,000**","**77,000**","**85,000**","**105,000**","**67,500**","**76,000**","**87,000**","**102,000**","**105,000**","**120,000**","**135,000**","**150,000**"
**Governors suites (1.5 Bedroom )**,"**70,000**","**85,000**","**105,000**","**115,000**","**73,500**","**84,000**","**114,000**","**122,000**","**120,000**","**140,000**","**165,000**","**200,000**"
**King lion suites  (2 bed room )**,**N/A**,"**105,000**","**115,000**","**125,000**",**N/A**,"           103,000 ","**115,500**","**142,000**",**N/A**,"**180,000**","**195,000**","**240,000**"
