Activity / Service,USD,Remarks
Maasai ManyattaVisit (Minimum 2pax),35,Approx. 1hour
Guided Walking Safari (Minimum 2 pax),120,Approx. 2 hours
Ecowalk (Maximum 10pax),70,Max. 1 hour
Hot air balloon safari & champagne breakfast (Adult),,Leave camp at 0500hrs and arrive back at approx. 1100
Hot air balloon safari & breakfast (Child),,Leave camp at 0500hrs and arrive back at approx. 1100
Hippo Pool Breakfast (Minimum 2pax),50,
Bush Breakfast (Minimum 2pax),50,
Bush Lunch (Minimum 2pax),50,
Bush Dinner (Minimum 2pax),50,
Sundowners (Minimum 2pax),70,Unlimited local drinks and Snacks
Extra Lunch at camp,50,
Picnic Lunch,50,
Night Game Drive (Minimum 2pax),80,
Maasai Cultural Dance,120,
Exclusive use of vehicle within Mara NorthConservancy,400,Per Vehicle per day
Exclusive use of vehicle within Masai Mara Reserve,500,Per Vehicle per day
Border Transfers,600,Per Vehicle One Way
