ACCOMODATION CONTRACT RATES.ROOM,ACCOMODATION CONTRACT RATES.ROOMCATEGORY,ACCOMODATION CONTRACT RATES.BED &BREAKFAST,ACCOMODATION CONTRACT RATES.HALF-BOARD,ACCOMODATION CONTRACT RATES.FULL-BOARD
BROOKS CASTLE (BUDGET),Single,"2,700","5,400","7,200"
,Double,"3,600","7,200","10,800"
,Twin,"7,200","10,800","14,400"
BROOKS STANDARD,Single,"3,600","5,400","7,200"
,Double,"4,500","8,000","11,700"
BROOKS CASTLE,Single,"4,500","6,300","8,100"
,Double,"5,400","9,000","12,600"
,Twin,"7,200","10,800","14,400"
DELUXE,Single,"6,300","8,100","10,800"
,Double,"7,200","10,800","14,400"
STALLION,Single,"6,300","9,000","10,800"
,Double,"7,200","10,800","14,400"
EXECUTIVE,Single,"8,100","9,900","11,700"
,Double,"9,000","12,600","16,200"
VIP,1 Pax,"10,800","14,400","18,000"
,2 Pax,"18,000","22,500","27,000"
,4 Pax,"27,000","32,400","36,000"
