ACCOMODATION RATES.ROOM,ACCOMODATION RATES.ROOMCATEGORY,ACCOMODATION RATES.BED &BREAKFAST,ACCOMODATION RATES.HALF-BOARD,ACCOMODATION RATES.FULL-BOARD
BROOKS CASTLE (BUDGET),Single,"3,000","6,000","8,000"
,Double,"4,000","8,000","12,000"
,twin,8000,12000,16000
BROOKS STANDARD,Single,"4,000","6,000","8,000"
,Double,"5,000","9,000","13,000"
BROOKS CASTLE,Single,5000,7000,9000
,Double,6000,10000,14000
,Twin,8000,12000,16000
DELUXE,Single,"7,000","9,000","12,000"
,Double,"8,000","12,000","16,000"
STALLION,Single,"7,000","10,000","12,000"
,Double,"8,000","12,000","16,000"
EXECUTIVE,Single,"9,000","11,000","13,000"
,Double,"10,000","14,000","18,000"
VIP,1 Pax,"12,000","16,000","20,000"
,2 Pax,"20,000","25,000","30,000"
,4 Pax,"30,000","36,000","40,000"
