Experiences,No of Pax,Non-Res Rate (US$),Remarks
Game drives (Morning / Afternoon 4x4 vehicles,Min 4 pax,$60 per person,Duration 3 hrs.
Night Game drive 4X4 vehicles,Min 4 pax,$60 per person,Duration 3 hrs.
Game drives &Sundowner 4x4 vehicles,Min 4 pax,$70 per person,Excluding Drinks
Mula Hill Climb,Min 2 pax,$40 per person,With a ranger and a guide
Guided Bush walks with a guide and ranger,Min 4 pax,$35 per person,Duration 2 -3 hours
Boat rides on Lake Naivasha,Min 4 Pax,$35 per person,Duration 1 hour
Boat rides for in house guest with visit to Crescent Island with one of our guides,Min 4 Pax,$80 per person,Duration 3 hours Includes Entry fees
Boat rides for external guests with visit to Crescent Island with one of our guides with 3 course lunch at ranch house bistro,Min 4 Pax,$125 per person,Duration 3 hours Includes Entry fees
Flower Farm visit,Min 4 Pax,$45 per person,Duration 2 hour
Horse riding safaris within Oserengoni Wildlife Sanctuary,,$ 60 per person,Duration 1 hour
Breakfast at Chui Lodge,,$30 per person,
Lunch at Chui Lodge,,$40 per person,
Dinner at Chui Lodge,,$40 per person,
Bush Dinner in Oserengoni Wildlife Sanctuary,Min 4 pax,$60 per person,
