"COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD..","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 1 APRIL TO 31 JULY FROM 1 SEPTEMBER T0 22 DECEMBER.BEB","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 1 APRIL TO 31 JULY FROM 1 SEPTEMBER T0 22 DECEMBER.HALF","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 1 APRIL TO 31 JULY FROM 1 SEPTEMBER T0 22 DECEMBER.FULL","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 1 AUGUST TO 31 AUGUST.BEB","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 1 AUGUST TO 31 AUGUST.HALF","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 1 AUGUST TO 31 AUGUST.FULL","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 23 DECEMBER TO 6 JANUARY.BEB","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 23 DECEMBER TO 6 JANUARY.HALF","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 23 DECEMBER TO 6 JANUARY.FULL","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 7 JANUARY TO 31 MARCH.BEB","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 7 JANUARY TO 31 MARCH.HALF","COTTAGE STANDARD WITH LIVING ROOM, 2 BEEDROOMS AND 2 BATHROOMS USD.FROM 7 JANUARY TO 31 MARCH.FULL"
1 ADULT,230,265,305,260,300,340,560,605,650,245,285,325
2 ADULT,245,325,400,280,355,435,580,670,755,260,340,415
3 ADULT,300,415,535,335,450,565,635,765,900,315,435,550
1 ADULT + 1 KID,245,305,365,280,340,400,580,650,725,260,325,385
2 ADULT + 1 KID,275,375,475,305,405,505,605,725,840,290,390,490
2 ADULT + 2 KIDS,300,425,545,335,455,580,635,780,920,315,440,560
1 ADULT + 2 KIDS,275,355,440,305,390,475,605,705,805,290,375,455
1 ADULT + 3 KIDS,300,405,510,335,440,545,635,760,890,315,425,530
4 ADULT,355,510,665,390,545,700,690,865,1045,375,530,685
4 ADULT + 1 KID,385,560,740,415,595,770,715,920,1130,400,580,755
3 ADULT + 1 KID,330,465,605,360,500,640,660,820,985,345,485,625
3 ADULT + 2 KIDS,355,515,680,390,550,710,690,880,1065,375,535,695
2 ADULT + 3 KIDS,330,475,615,360,505,650,660,835,1005,345,490,635
